fio;phone;login;password;type
Трубин Никита Юрьевич;89210563128;kasoo;root;менеджер
Мурашов Андрей Юрьевич;89535078985;murashov123;qwerty;мастер
Степанов Андрей Викторович;89210673849;test1;test1;мастер
Перина Анастасия Денисовна;89990563748;perinaAD;250519;оператор
Мажитова Ксения Сергеевна;89994563847;krutiha1234567;1234567890;оператор
Семенова Ясмина Марковна;89994563847;login1;pass1;мастер
Баранова Эмилия Марковна;89994563841;login2;pass2;заказчик
Егорова Алиса Платоновна;89994563842;login3;pass3;заказчик
Титов Максим Иванович;89994563843;login4;pass4;заказчик
Иванов Марк Максимович;89994563844;login5;pass5;мастер
